Date,Sunset,LTT,LTH,Moon_Phase,Moon_Rise,Location,Start_Time,Quadrat,In,Out,Lux,Temp,Humidity,Cloud,Direct_Moonlight,Direct_ALAN
12/10/2024,18:34,19:56,1.95,71,Y,Swanpool,20:15,SP1,6,0,0.0705,13.5,55,Y,N,Y
12/10/2024,18:34,19:56,1.95,71,Y,Swanpool,20:15,SP2,32,0,0.0139,14.1,51,Y,N,N
12/10/2024,18:34,19:56,1.95,71,Y,Swanpool,20:15,SP3,1,6,0.33,13.9,56,Y,N,Y
12/10/2024,18:34,19:56,1.95,71,Y,Swanpool,20:15,SP4,6,0,0.33,13.9,56,Y,N,Y
12/10/2024,18:34,19:56,1.95,71,Y,Castle,21:05,CA1,6,0,0.0287,15,60,Y,Y,N
12/10/2024,18:34,19:56,1.95,71,Y,Castle,21:05,CA2,7,0,0.0838,16.5,65,N,Y,N
12/10/2024,18:34,19:56,1.95,71,Y,Castle,21:05,CA5,0,0,0.0951,14.8,60,N,Y,N
12/10/2024,18:34,19:56,1.95,71,Y,East Gylly,21:45,EG3,1,0,0.95,15.2,62,N,N,Y
12/10/2024,18:34,19:56,1.95,71,Y,East Gylly,21:45,EG4,1,7,0.33,15.2,62,N,Y,Y
12/10/2024,18:34,19:56,1.95,71,Y,East Gylly,21:45,EG5,2,2,0.11,15.2,62,N,Y,N
12/10/2024,18:34,19:56,1.95,71,Y,East Gylly,21:45,EG6,4,0,0.12,15.2,62,N,Y,N
14/10/2024,18:30,22:17,1.04,90,Y,Swanpool,20:15,SP1,8,4,0.0314,16.6,65,Y,NA,N
14/10/2024,18:30,22:17,1.04,90,Y,Swanpool,20:15,SP2,11,5,0.0915,16.2,69,Y,NA,N
14/10/2024,18:30,22:17,1.04,90,Y,Swanpool,20:15,SP3,2,3,0.0548,16.4,69,Y,NA,N
14/10/2024,18:30,22:17,1.04,90,Y,Swanpool,20:15,SP4,1,3,0.0332,16.4,69,Y,NA,N
14/10/2024,18:30,22:17,1.04,90,Y,Castle,21:00,CA1,6,3,0.0726,16.7,69,Y,NA,N
14/10/2024,18:30,22:17,1.04,90,Y,Castle,21:00,CA2,7,3,0.0619,16,73,Y,NA,N
14/10/2024,18:30,22:17,1.04,90,Y,Castle,21:00,CA5,1,1,0.0556,16.6,69,Y,NA,N
14/10/2024,18:30,22:17,1.04,90,Y,East Gylly,21:30,EG3,0,1,0.7,16.6,70,Y,NA,Y
14/10/2024,18:30,22:17,1.04,90,Y,East Gylly,21:30,EG4,3,0,0.18,16.1,72,Y,NA,Y
14/10/2024,18:30,22:17,1.04,90,Y,East Gylly,21:30,EG5,1,5,0.0601,15.8,74,Y,NA,N
